Filename,DIMBOA,DIMBOA-Glc,DIBOA,HDBOA-Glc,HDMBOA-Glc,InternalStandard
DIBOA-glc,51855.07791,NF,3839536.361,98303.35104,131063.9967,40595.7309
DIMBOA,187561514.2,9498.277418,27710.39024,164961.2185,200974.8766,96717.69702
DIMBOA-glc,68424355.17,142824671.6,22941.85065,3361160.665,97163.27649,100303.1267
HDBOA-Glc,2156853.466,1420076.207,170082.2434,28208876.78,129477260.2,3799728.962
HDMBOA-glc,336624.7039,104855.2552,9877.670059,21876559.82,79140080.49,513283.9435
HDMBOA-glc_20230922153837,85035.15055,1014234.935,19570.19399,170792412.4,2004911926,1001559.038
333_20230922150737,NF,NF,175947.598,NF,NF,788.6679634
270_retake,4920294.925,961842.0129,281653.4436,10630739.96,822044.195,33014044.74
255_retake,1865717.222,281088.2134,7050.980748,13899513.61,13331588.04,57223616.36
354,311735758.9,9219215.229,43152.73911,4490971.729,2751026.022,19706433.49
